station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,11
Zheleznogorsk,0.0,23.8333,1431.0,11
Khabarovsk,0.0,23.8333,1431.0,8
Murmansk,0.0,23.8333,1431.0,11
Novosibirsk,0.0,23.8333,1431.0,10
Vladivostok,0.0,23.8333,1431.0,7
Yakutsk,0.0,23.8333,1431.0,11
Minsk,0.0,23.8333,1431.0,10
Almaty,0.0,23.8333,1431.0,7
Urumqi,0.0,23.8333,1431.0,7
Delhi,0.0,23.8333,1431.0,7
Yangon,0.0,23.8333,1431.0,5
Jakarta,0.0,23.8333,1431.0,4
Tehran,0.0,23.8333,1431.0,8
Johannesburg,0.0,23.8333,1431.0,6
Nairobi,0.0,23.8333,1431.0,4
Luanda,0.0,23.8333,1431.0,5
Havana,0.0,23.8333,1431.0,5
Caracas,0.0,23.8333,1431.0,5
Buenos_Aires,0.0,23.8333,1431.0,7
