station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,8
Zheleznogorsk,0.0,23.8333,1431.0,9
Khabarovsk,0.0,23.8333,1431.0,8
Murmansk,0.0,23.8333,1431.0,14
Novosibirsk,0.0,23.8333,1431.0,8
Vladivostok,0.0,23.8333,1431.0,7
Yakutsk,0.0,23.8333,1431.0,10
Minsk,0.0,23.8333,1431.0,8
Almaty,0.0,23.8333,1431.0,7
Urumqi,0.0,23.8333,1431.0,7
Delhi,0.0,23.8333,1431.0,5
Yangon,0.0,23.8333,1431.0,5
Jakarta,0.0,23.8333,1431.0,4
Tehran,0.0,23.8333,1431.0,6
Johannesburg,0.0,23.8333,1431.0,5
Nairobi,0.0,23.8333,1431.0,4
Luanda,0.0,23.8333,1431.0,5
Havana,0.0,23.8333,1431.0,5
Caracas,0.0,23.8333,1431.0,5
Buenos_Aires,0.0,23.8333,1431.0,6
